iter	Passed	Remaining
0	180	180313
1	251	125673
2	324	107989
3	402	100117
4	484	96445
5	541	89631
6	714	101360
7	792	98234
8	848	93409
9	911	90278
10	983	88405
11	1045	86101
12	1103	83764
13	1165	82094
14	1236	81185
15	1310	80598
16	1377	79666
17	1486	81113
18	1579	81547
19	1664	81578
20	1733	80792
21	1802	80121
22	1872	79553
23	1941	78969
24	2036	79423
25	2101	78728
26	2182	78664
27	2250	78141
28	2316	77546
29	2372	76713
30	2447	76519
31	2516	76115
32	2577	75535
33	2636	74895
34	2698	74408
35	2766	74069
36	2832	73719
37	2892	73222
38	2963	73025
39	3034	72817
40	3102	72576
41	3155	71976
42	3252	72390
43	3333	72419
44	3404	72255
45	3460	71768
46	3530	71594
47	3588	71176
48	3665	71142
49	3739	71052
50	3790	70534
51	3845	70102
52	3904	69757
53	3957	69336
54	4014	68984
55	4070	68620
56	4150	68662
57	4214	68447
58	4270	68110
59	4326	67785
60	4391	67600
61	4462	67510
62	4517	67181
63	4571	66862
64	4637	66707
65	4693	66414
66	4755	66218
67	4809	65911
68	4871	65729
69	4932	65537
70	4992	65322
71	5051	65105
72	5132	65170
73	5198	65046
74	5255	64815
75	5310	64564
76	5374	64422
77	5430	64188
78	5481	63904
79	5554	63880
80	5631	63893
81	5689	63692
82	5760	63641
83	5815	63417
84	5877	63274
85	5947	63208
86	6006	63030
87	6060	62811
88	6133	62787
89	6199	62686
90	6261	62549
91	6315	62331
92	6384	62264
93	6441	62081
94	6495	61874
95	6549	61677
96	6609	61526
97	6667	61368
98	6723	61189
99	6796	61167
100	6862	61082
101	6919	60915
102	6975	60751
103	7030	60569
104	7094	60471
105	7158	60378
106	7223	60284
107	7281	60139
108	7357	60141
109	7413	59980
110	7470	59835
111	7526	59676
112	7592	59596
113	7664	59566
114	7721	59425
115	7787	59343
116	7873	59421
117	7947	59406
118	8002	59242
119	8057	59087
120	8117	58969
121	8173	58820
122	8224	58639
123	8288	58555
124	8353	58474
125	8413	58359
126	8474	58256
127	8537	58163
128	8608	58122
129	8667	58004
130	8725	57883
131	8794	57828
132	8859	57750
133	8914	57612
134	8968	57462
135	9036	57411
136	9103	57344
137	9160	57218
138	9216	57089
139	9269	56939
140	9332	56854
141	9389	56733
142	9446	56612
143	9515	56562
144	9582	56503
145	9663	56526
146	9734	56484
147	9820	56534
148	9883	56447
149	9934	56297
150	10004	56251
151	10077	56220
152	10187	56397
153	10359	56908
154	10509	57293
155	10622	57472
156	10836	58184
157	10957	58394
158	11024	58314
159	11136	58464
160	11234	58543
161	11330	58612
162	11465	58872
163	11544	58846
164	11617	58790
165	11720	58885
166	11834	59028
167	11925	59058
168	12044	59226
169	12146	59301
170	12229	59287
171	12286	59148
172	12345	59014
173	12410	58915
174	12492	58895
175	12602	59001
176	12690	59005
177	12774	58994
178	12860	58985
179	12929	58901
180	12987	58765
181	13048	58644
182	13108	58520
183	13172	58415
184	13239	58324
185	13300	58207
186	13392	58224
187	13477	58212
188	13566	58211
189	13641	58154
190	13715	58093
191	13776	57976
192	13836	57854
193	13898	57743
194	13955	57612
195	14014	57489
196	14106	57501
197	14192	57488
198	14259	57394
199	14319	57276
200	14385	57184
201	14545	57459
202	14607	57349
203	14671	57247
204	14725	57107
205	14792	57014
206	14848	56882
207	14910	56772
208	14974	56674
209	15057	56643
210	15114	56517
211	15172	56396
212	15227	56263
213	15285	56141
214	15348	56041
215	15404	55912
216	15460	55786
217	15521	55678
218	15580	55561
219	15637	55441
220	15704	55358
221	15769	55265
222	15829	55153
223	15882	55020
224	15939	54904
225	16003	54809
226	16060	54689
227	16129	54614
228	16200	54544
229	16260	54438
230	16327	54353
231	16387	54246
232	16450	54153
233	16507	54038
234	16562	53916
235	16619	53801
236	16670	53667
237	16728	53558
238	16792	53469
239	16856	53379
240	16914	53271
241	16984	53199
242	17043	53093
243	17114	53026
244	17180	52944
245	17269	52931
246	17372	52960
247	17449	52910
248	17537	52894
249	17591	52773
250	17653	52679
251	17716	52586
252	17780	52499
253	17838	52391
254	17893	52276
255	17949	52164
256	18006	52057
257	18064	51952
258	18122	51847
259	18181	51747
260	18252	51679
261	18308	51571
262	18362	51457
263	18417	51345
264	18475	51244
265	18543	51169
266	18598	51058
267	18652	50945
268	18719	50870
269	18790	50803
270	18852	50714
271	18925	50654
272	18991	50575
273	19050	50478
274	19105	50369
275	19179	50311
276	19240	50220
277	19298	50119
278	19352	50011
279	19415	49925
280	19469	49817
281	19527	49718
282	19587	49626
